Parameter,Process1,Process2,Process3,Temperature,V-supply,vref
C0_0,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,1.6,0.8865
C0_1,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,1.6,0.8778
C0_2,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,1.6,0.8689
C0_3,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,1.6,0.8597
C0_4,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,1.6,0.8504
C0_5,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-5,1.6,0.841
C0_6,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,5,1.6,0.8315
C0_7,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,15,1.6,0.8214
C0_8,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,25,1.6,0.8123
C0_9,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,35,1.6,0.8025
C0_10,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,45,1.6,0.7926
C0_11,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,55,1.6,0.7824
C0_12,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,65,1.6,0.7723
C0_13,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,75,1.6,0.762
C0_14,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,85,1.6,0.7516
C0_15,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,95,1.6,0.7415
C0_16,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,105,1.6,0.73
C0_17,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,115,1.6,0.7175
C0_18,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,125,1.6,0.7032
C0_19,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,1.8,0.8868
C0_20,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,1.8,0.8779
C0_21,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,1.8,0.8691
C0_22,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,1.8,0.8597
C0_23,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,1.8,0.8505
C0_24,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-5,1.8,0.8411
C0_25,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,5,1.8,0.8316
C0_26,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,15,1.8,0.822
C0_27,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,25,1.8,0.8123
C0_28,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,35,1.8,0.8025
C0_29,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,45,1.8,0.7926
C0_30,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,55,1.8,0.7825
C0_31,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,65,1.8,0.7723
C0_32,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,75,1.8,0.762
C0_33,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,85,1.8,0.7516
C0_34,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,95,1.8,0.7415
C0_35,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,105,1.8,0.7297
C0_36,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,115,1.8,0.7176
C0_37,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,125,1.8,0.7032
C0_38,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,2,0.8868
C0_39,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,2,0.8782
C0_40,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,2,0.8689
C0_41,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,2,0.8598
C0_42,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,2,0.8511
C0_43,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-5,2,0.8411
C0_44,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,5,2,0.8312
C0_45,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,15,2,0.822
C0_46,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,25,2,0.8124
C0_47,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,35,2,0.8025
C0_48,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,45,2,0.7925
C0_49,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,55,2,0.7825
C0_50,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,65,2,0.7727
C0_51,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,75,2,0.7621
C0_52,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,85,2,0.7516
C0_53,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,95,2,0.7415
C0_54,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,105,2,0.7298
C0_55,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,115,2,0.7176
C0_56,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,125,2,0.7033
C0_57,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,2.2,0.8868
C0_58,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,2.2,0.8782
C0_59,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,2.2,0.8694
C0_60,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,2.2,0.8604
C0_61,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,2.2,0.8505
C0_62,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-5,2.2,0.8412
C0_63,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,5,2.2,0.8316
C0_64,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,15,2.2,0.8221
C0_65,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,25,2.2,0.8123
C0_66,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,35,2.2,0.8027
C0_67,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,45,2.2,0.7925
C0_68,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,55,2.2,0.7825
C0_69,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,65,2.2,0.7725
C0_70,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,75,2.2,0.7621
C0_71,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,85,2.2,0.7769
C0_72,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,95,2.2,0.8359
C0_73,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,105,2.2,0.8966
C0_74,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,115,2.2,0.9578
C0_75,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,125,2.2,1.018
C0_76,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,2.4,1.165
C0_77,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,2.4,1.248
C0_78,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,2.4,1.329
C0_79,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,2.4,1.404
C0_80,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,2.4,1.47
C0_81,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-5,2.4,1.527
C0_82,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,5,2.4,1.575
C0_83,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,15,2.4,1.616
C0_84,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,25,2.4,1.651
C0_85,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,35,2.4,1.682
C0_86,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,45,2.4,1.708
C0_87,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,55,2.4,1.732
C0_88,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,65,2.4,1.752
C0_89,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,75,2.4,1.77
C0_90,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,85,2.4,1.786
C0_91,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,95,2.4,1.799
C0_92,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,105,2.4,1.811
C0_93,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,115,2.4,1.821
C0_94,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,125,2.4,1.829
C0_95,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,2.6,2.167
C0_96,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,2.6,2.18
C0_97,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,2.6,2.19
C0_98,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,2.6,2.198
C0_99,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,2.6,2.203
C0_100,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-5,2.6,2.207
C0_101,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,5,2.6,2.21
C0_102,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,15,2.6,2.211
C0_103,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,25,2.6,2.211
C0_104,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,35,2.6,2.21
C0_105,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,45,2.6,2.209
C0_106,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,55,2.6,2.206
C0_107,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,65,2.6,2.203
C0_108,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,75,2.6,2.199
C0_109,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,85,2.6,2.195
C0_110,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,95,2.6,2.19
C0_111,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,105,2.6,2.185
C0_112,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,115,2.6,2.179
C0_113,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,125,2.6,2.173
C0_114,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,2.8,2.468
C0_115,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,2.8,2.462
C0_116,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,2.8,2.456
C0_117,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,2.8,2.449
C0_118,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,2.8,2.442
C0_119,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-5,2.8,2.435
C0_120,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,5,2.8,2.427
C0_121,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,15,2.8,2.419
C0_122,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,25,2.8,2.411
C0_123,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,35,2.8,2.403
C0_124,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,45,2.8,2.395
C0_125,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,55,2.8,2.386
C0_126,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,65,2.8,2.377
C0_127,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,75,2.8,2.369
C0_128,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,85,2.8,2.359
C0_129,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,95,2.8,2.35
C0_130,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,105,2.8,2.341
C0_131,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,115,2.8,2.331
C0_132,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,125,2.8,2.322
C0_133,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-55,3,2.586
C0_134,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-45,3,2.576
C0_135,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-35,3,2.567
C0_136,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-25,3,2.558
C0_137,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-15,3,2.548
C0_138,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,-5,3,2.539
C0_139,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,5,3,2.529
C0_140,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,15,3,2.52
C0_141,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,25,3,2.51
C0_142,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,35,3,2.5
C0_143,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,45,3,2.49
C0_144,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,55,3,2.48
C0_145,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,65,3,2.47
C0_146,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,75,3,2.46
C0_147,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,85,3,2.45
C0_148,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,95,3,2.439
C0_149,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,105,3,2.429
C0_150,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,115,3,2.418
C0_151,ff_lp_bjt,ff_lp_rvt12,ss_lp_io25,125,3,2.408
C0_152,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-55,1.6,0.8874
C0_153,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-45,1.6,0.8778
C0_154,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-35,1.6,0.8688
C0_155,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-25,1.6,0.8599
C0_156,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-15,1.6,0.8504
C0_157,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-5,1.6,0.841
C0_158,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,5,1.6,0.8315
C0_159,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,15,1.6,0.8222
C0_160,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,25,1.6,0.8123
C0_161,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,35,1.6,0.8029
C0_162,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,45,1.6,0.7924
C0_163,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,55,1.6,0.7825
C0_164,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,65,1.6,0.7723
C0_165,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,75,1.6,0.7625
C0_166,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,85,1.6,0.7515
C0_167,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,95,1.6,0.7415
C0_168,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,105,1.6,0.73
C0_169,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,115,1.6,0.7175
C0_170,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,125,1.6,0.7032
C0_171,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-55,1.8,0.8867
C0_172,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-45,1.8,0.8779
C0_173,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-35,1.8,0.8689
C0_174,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-25,1.8,0.8597
C0_175,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-15,1.8,0.8505
C0_176,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-5,1.8,0.8411
C0_177,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,5,1.8,0.8316
C0_178,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,15,1.8,0.822
C0_179,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,25,1.8,0.8124
C0_180,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,35,1.8,0.8025
C0_181,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,45,1.8,0.7925
C0_182,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,55,1.8,0.7824
C0_183,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,65,1.8,0.7723
C0_184,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,75,1.8,0.762
C0_185,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,85,1.8,0.7516
C0_186,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,95,1.8,0.7415
C0_187,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,105,1.8,0.7301
C0_188,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,115,1.8,0.7176
C0_189,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,125,1.8,0.7033
C0_190,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-55,2,0.8869
C0_191,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-45,2,0.8782
C0_192,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-35,2,0.8693
C0_193,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-25,2,0.8598
C0_194,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-15,2,0.8514
C0_195,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-5,2,0.8411
C0_196,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,5,2,0.8317
C0_197,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,15,2,0.8221
C0_198,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,25,2,0.8124
C0_199,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,35,2,0.8025
C0_200,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,45,2,0.7928
C0_201,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,55,2,0.7825
C0_202,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,65,2,0.7724
C0_203,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,75,2,0.762
C0_204,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,85,2,0.7517
C0_205,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,95,2,0.7415
C0_206,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,105,2,0.7298
C0_207,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,115,2,0.7176
C0_208,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,125,2,0.7033
C0_209,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-55,2.2,0.8868
C0_210,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-45,2.2,0.8783
C0_211,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-35,2.2,0.8692
C0_212,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-25,2.2,0.8597
C0_213,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-15,2.2,0.8505
C0_214,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-5,2.2,0.8412
C0_215,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,5,2.2,0.8317
C0_216,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,15,2.2,0.8222
C0_217,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,25,2.2,0.8337
C0_218,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,35,2.2,0.8973
C0_219,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,45,2.2,0.9639
C0_220,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,55,2.2,1.032
C0_221,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,65,2.2,1.1
C0_222,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,75,2.2,1.165
C0_223,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,85,2.2,1.225
C0_224,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,95,2.2,1.278
C0_225,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,105,2.2,1.324
C0_226,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,115,2.2,1.364
C0_227,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,125,2.2,1.398
C0_228,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-55,2.4,1.648
C0_229,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-45,2.4,1.7
C0_230,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-35,2.4,1.744
C0_231,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-25,2.4,1.782
C0_232,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-15,2.4,1.815
C0_233,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-5,2.4,1.844
C0_234,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,5,2.4,1.869
C0_235,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,15,2.4,1.89
C0_236,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,25,2.4,1.909
C0_237,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,35,2.4,1.925
C0_238,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,45,2.4,1.939
C0_239,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,55,2.4,1.951
C0_240,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,65,2.4,1.961
C0_241,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,75,2.4,1.969
C0_242,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,85,2.4,1.975
C0_243,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,95,2.4,1.981
C0_244,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,105,2.4,1.984
C0_245,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,115,2.4,1.987
C0_246,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,125,2.4,1.989
C0_247,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-55,2.6,2.32
C0_248,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-45,2.6,2.322
C0_249,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-35,2.6,2.323
C0_250,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-25,2.6,2.322
C0_251,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-15,2.6,2.321
C0_252,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-5,2.6,2.319
C0_253,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,5,2.6,2.316
C0_254,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,15,2.6,2.312
C0_255,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,25,2.6,2.308
C0_256,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,35,2.6,2.303
C0_257,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,45,2.6,2.298
C0_258,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,55,2.6,2.292
C0_259,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,65,2.6,2.286
C0_260,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,75,2.6,2.28
C0_261,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,85,2.6,2.273
C0_262,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,95,2.6,2.266
C0_263,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,105,2.6,2.259
C0_264,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,115,2.6,2.251
C0_265,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,125,2.6,2.243
C0_266,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-55,2.8,2.523
C0_267,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-45,2.8,2.515
C0_268,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-35,2.8,2.507
C0_269,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-25,2.8,2.499
C0_270,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-15,2.8,2.491
C0_271,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-5,2.8,2.483
C0_272,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,5,2.8,2.474
C0_273,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,15,2.8,2.465
C0_274,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,25,2.8,2.457
C0_275,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,35,2.8,2.448
C0_276,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,45,2.8,2.439
C0_277,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,55,2.8,2.429
C0_278,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,65,2.8,2.42
C0_279,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,75,2.8,2.411
C0_280,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,85,2.8,2.401
C0_281,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,95,2.8,2.391
C0_282,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,105,2.8,2.382
C0_283,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,115,2.8,2.372
C0_284,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,125,2.8,2.362
C0_285,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-55,3,2.617
C0_286,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-45,3,2.608
C0_287,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-35,3,2.598
C0_288,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-25,3,2.589
C0_289,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-15,3,2.579
C0_290,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,-5,3,2.569
C0_291,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,5,3,2.559
C0_292,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,15,3,2.55
C0_293,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,25,3,2.54
C0_294,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,35,3,2.53
C0_295,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,45,3,2.52
C0_296,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,55,3,2.509
C0_297,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,65,3,2.499
C0_298,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,75,3,2.489
C0_299,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,85,3,2.478
C0_300,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,95,3,2.468
C0_301,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,105,3,2.457
C0_302,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,115,3,2.447
C0_303,ff_lp_bjt,ff_lp_rvt12,tt_lp_io25,125,3,2.436
C0_304,ff_lp_bjt,ff_lp_rvt12,ff_lp_io25,-55,1.6,0.8868
C0_305,ff_lp_bjt,ff_lp_rvt12,ff_lp_io25,-45,1.6,0.8778
C0_306,ff_lp_bjt,ff_lp_rvt12,ff_lp_io25,-35,1.6,0.8689
C0_307,ff_lp_bjt,ff_lp_rvt12,ff_lp_io25,-25,1.6,0.8601
